ID,Localisation_producteur,X,Y,Secteur_activite,PRO,QA_t_kl,QSS_t_kl,QSP_t_kl,C/N,N_kg/t_L,P_kg/t_L,K_kg/t_L,C_kg/t_L,Prix_FCFA/kg_L,Type,destination,source,utilisation,Origine
110,111.0,8.0,7.7141646,-4.970018,2.0,5.0,4.5,0.0,4.5,220.9333333333333,0.9,0.12,0.72,198.84,10.0,0.0,6.0,1.0,8.0,0.0
111,112.0,0.0,7.6847734,-4.9577988,2.0,5.0,6.75,4.5,2.25,220.9333333333333,0.9,0.12,0.72,198.84,10.0,0.0,7.0,1.0,4.0,0.0
112,113.0,14.0,7.68116,-5.050556,2.0,21.0,2.12,0.71,1.41,220.9333333333333,0.9,0.12,0.72,198.84,10.0,0.0,6.0,1.0,11.0,0.0
113,114.0,16.0,7.707121,-5.0325228,2.0,21.0,0.53,0.177,0.353,220.9333333333333,0.9,0.12,0.72,198.84,10.0,0.0,6.0,1.0,5.0,0.0
114,115.0,35.0,7.646167,-5.021266,2.0,21.0,2.12,0.71,1.41,220.9333333333333,0.9,0.12,0.72,198.84,10.0,0.0,17.0,1.0,5.0,0.0
115,116.0,0.0,7.6847734,-4.9577988,2.0,6.0,0.45,0.075,0.375,220.9333333333333,11.0,5.0,6.6,198.84,20.0,0.0,7.0,1.0,4.0,0.0
116,117.0,0.0,7.6847734,-4.9577988,2.0,6.0,1.125,0.19,0.935,220.9333333333333,11.0,5.0,6.6,198.84,20.0,0.0,7.0,1.0,4.0,0.0
117,118.0,14.0,7.68116,-5.050556,3.0,6.0,1.5,0.75,0.75,118.80166666666665,11.0,5.0,6.6,115.17,15.0,0.0,6.0,1.0,5.0,0.0
118,119.0,35.0,7.646167,-5.021266,3.0,6.0,0.6,0.3,0.3,220.9333333333333,11.0,5.0,6.6,198.84,8.0,0.0,6.0,1.0,5.0,0.0
119,120.0,31.0,7.671681,-5.104246,3.0,6.0,0.75,0.313,0.437,220.9333333333333,11.0,5.0,6.6,198.84,7.5,0.0,6.0,1.0,5.0,0.0
120,121.0,16.0,7.707121,-5.0325228,3.0,6.0,0.19,0.096,0.096,118.80166666666665,11.0,5.0,6.6,115.17,15.0,0.0,6.0,1.0,5.0,0.0
121,122.0,23.0,7.7058943,-5.0799305,3.0,6.0,1.125,0.469,0.656,118.80166666666665,11.0,5.0,6.6,115.17,15.0,0.0,6.0,1.0,5.0,0.0
122,123.0,18.0,7.6735939,5.1454126,2.0,6.0,0.105,0.088,0.017,16.67,11.0,5.0,6.6,31.5,15.0,0.0,12.0,1.0,8.0,0.0
123,124.0,16.0,7.7063625,-5.0328594,3.0,6.0,0.19,0.096,0.096,118.80166666666665,11.0,5.0,6.6,115.17,15.0,0.0,6.0,1.0,5.0,0.0
124,125.0,17.0,7.6928625,-5.0443906,0.0,7.0,6050.0,2520.0,3528.0,48.7,11.0,5.0,6.6,487.0,50.0,0.0,6.0,1.0,3.0,0.0
125,126.0,8.0,7.7141646,-4.970018,2.0,8.0,108000.095,45000.048,63000.048,16.67,11.0,5.0,6.6,31.5,37.5,0.0,14.0,1.0,12.0,0.0
126,127.0,18.0,7.6735936,5.1454123,2.0,8.0,0.1475,0.092,0.0565,16.67,11.0,5.0,6.6,31.5,27.5,0.0,12.0,1.0,6.0,0.0
127,128.0,19.0,7.6657929,-5.0428723,3.0,9.0,8.4,3.19,5.22,16.67,11.0,5.0,6.6,31.5,10.0,1.0,6.0,2.0,0.0,0.0
128,129.0,8.0,7.7141646,-4.970018,7.0,3.0,6.57,2.738,3.832,16.67,1.89,2.85,1.48,31.5,20.0,1.0,18.0,2.0,2.0,0.0
129,130.0,8.0,7.7141646,-4.970018,7.0,3.0,4.5,2.4,2.1,16.67,1.89,2.85,1.48,31.5,20.0,1.0,6.0,2.0,2.0,0.0
130,131.0,0.0,7.6986125,-4.9675469,6.0,13.0,216000.0,90000.0,126000.0,13.7029702970297,7.4,0.36,9.28,69200.0,55.0,0.0,11.0,2.0,9.0,0.0
131,132.0,28.0,7.7547882,-5.1071,6.0,13.0,11250.0,3750.0,7500.0,48.7,12.0,1.0,7.6,487.0,45.0,0.0,11.0,2.0,9.0,0.0
132,133.0,19.0,7.6741824,-5.0564076,1.0,22.0,8.4,3.19,5.22,117.19666666666666,18.5,8.5,7.3,274.42,8.0,0.0,6.0,2.0,0.0,0.0
133,134.0,32.0,7.764124,-5.0723917,1.0,18.0,1.82,0.755,1.057,13.46,26.0,12.0,8.0,350.0,6.0,0.0,19.0,2.0,3.0,0.0
134,135.0,8.0,7.7141646,-4.970018,2.0,20.0,1200.0,470.0,730.0,10.75,46.5,2.4,41.5,500.0,35.0,0.0,8.0,2.0,4.0,0.0
135,136.0,5.0,7.7131672,-4.9701863,1.0,3.0,35.0,14.6,20.4,16.67,1.89,2.85,1.48,31.5,100.0,0.0,12.0,2.0,1.0,0.0
136,137.0,5.0,7.7131672,-4.9701863,1.0,3.0,23.0,9.6,13.4,16.67,1.89,2.85,1.48,31.5,200.0,0.0,12.0,2.0,1.0,0.0
137,138.0,6.0,7.711374,-5.056545,1.0,3.0,2.19,0.91,1.28,16.67,1.89,2.85,1.48,31.5,30.0,0.0,12.0,2.0,1.0,0.0
138,139.0,0.0,7.686289,-4.958266,1.0,3.0,2.4,1.0,1.4,16.67,1.89,2.85,1.48,31.5,65.0,0.0,12.0,2.0,1.0,0.0
139,140.0,0.0,7.686071,-4.958593,1.0,3.0,6.6,2.75,3.85,16.67,1.89,2.85,1.48,31.5,40.0,0.0,12.0,2.0,1.0,0.0
140,141.0,5.0,7.7114419,-4.9729651,1.0,3.0,3.3,1.4,1.9,16.67,1.89,2.85,1.48,31.5,80.0,0.0,12.0,2.0,1.0,0.0
141,142.0,0.0,7.6861733,-4.9581737,1.0,3.0,4.5,2.4,2.1,16.66666666666667,1.89,2.85,1.48,31.5,15.0,0.0,6.0,2.0,1.0,0.0
142,143.0,5.0,7.7140038,-4.9695952,1.0,3.0,14.0,5.85,8.15,16.67,1.89,2.85,1.48,31.5,120.0,0.0,20.0,2.0,3.0,0.0
143,144.0,32.0,7.7641238,-5.0723915,1.0,4.0,1.825,0.798,1.027,4.276923076923077,6.5,18.88,18.49,27.8,6.0,0.0,19.0,2.0,3.0,0.0
144,145.0,32.0,7.7641239,-5.0723916,1.0,4.0,1.825,0.798,1.027,4.276923076923077,6.5,18.88,18.49,27.8,6.0,0.0,19.0,2.0,3.0,0.0
145,146.0,33.0,7.7273375,-4.9854944,1.0,4.0,6.12,2.55,3.57,10.79815100154083,32.45,19.85,25.05,350.4,8.0,0.0,12.0,2.0,3.0,0.0
146,147.0,33.0,7.7273375,-4.9854944,1.0,4.0,3.12,1.3,1.82,10.79815100154083,32.45,19.85,25.05,350.4,8.0,0.0,12.0,2.0,3.0,0.0
147,148.0,32.0,7.75893,-5.071378,1.0,4.0,3.25,1.35,1.89,4.276923076923077,6.5,18.88,18.49,27.8,5.0,0.0,6.0,2.0,3.0,0.0
148,149.0,32.0,7.75893,-5.071378,1.0,4.0,3.9,1.625,2.275,4.276923076923077,6.5,18.88,18.49,27.8,5.0,0.0,6.0,2.0,3.0,0.0
149,150.0,14.0,7.6762875,-5.0561406,1.0,4.0,1.3,0.55,0.75,7.471938775510204,3.92,20.23,11.9,29.29,5.0,0.0,20.0,2.0,3.0,0.0
